Branch,Category,Jee_Rank,Region,Round
Bio-Technology,General,54240,A) Delhi Region,Round 1
Chemical Engineering,General,43320,A) Delhi Region,Round 1
Civil Engineering,General,50287,A) Delhi Region,Round 1
Computer Science and Engineering,General,7514,A) Delhi Region,Round 1
Electrical Engineering,General,26845,A) Delhi Region,Round 1
Electronics and Communication Engineering,General,18953,A) Delhi Region,Round 1
Engineering Physics,General,39646,A) Delhi Region,Round 1
Environmental Engineering,General,54415,A) Delhi Region,Round 1
Information Technology,General,11023,A) Delhi Region,Round 1
Mathematics and Computing,General,15075,A) Delhi Region,Round 1
Mechanical Engineering,General,37041,A) Delhi Region,Round 1
Mechanical Engineering with specialization in Automotive Engineering,General,38756,A) Delhi Region,Round 1
Production and Industrial Engineering,General,48812,A) Delhi Region,Round 1
Software Engineering,General,13006,A) Delhi Region,Round 1
Bio-Technology,General,13115,B) Outside Delhi Region,Round 1
Chemical Engineering,General,11542,B) Outside Delhi Region,Round 1
Civil Engineering,General,12558,B) Outside Delhi Region,Round 1
Computer Science and Engineering,General,2647,B) Outside Delhi Region,Round 1
Electrical Engineering,General,6587,B) Outside Delhi Region,Round 1
Electronics and Communication Engineering,General,4540,B) Outside Delhi Region,Round 1
Engineering Physics,General,8538,B) Outside Delhi Region,Round 1
Environmental Engineering,General,13095,B) Outside Delhi Region,Round 1
Information Technology,General,3114,B) Outside Delhi Region,Round 1
Mathematics and Computing,General,3736,B) Outside Delhi Region,Round 1
Mechanical Engineering,General,9929,B) Outside Delhi Region,Round 1
Mechanical Engineering with specialization in Automotive Engineering,General,10278,B) Outside Delhi Region,Round 1
Production and Industrial Engineering,General,12144,B) Outside Delhi Region,Round 1
Software Engineering,General,3680,B) Outside Delhi Region,Round 1
Bio-Technology,General,64872,A) Delhi Region,Round 2
Chemical Engineering,General,51259,A) Delhi Region,Round 2
Civil Engineering,General,56851,A) Delhi Region,Round 2
Computer Science and Engineering,General,10452,A) Delhi Region,Round 2
Electrical Engineering,General,29834,A) Delhi Region,Round 2
Electronics and Communication Engineering,General,23129,A) Delhi Region,Round 2
Engineering Physics,General,45421,A) Delhi Region,Round 2
Environmental Engineering,General,63685,A) Delhi Region,Round 2
