Branch,Category,Jee_Rank,Region,Round
Computer Science and Applied Mathematics,General,1009 (8455),A) Delhi Region,Round 1
Computer Science and Artificial Intelligence,General,244 (2942),A) Delhi Region,Round 1
Computer Science and Biosciences,General,2180 (15988),A) Delhi Region,Round 1
Computer Science and Design,General,1249 (9893),A) Delhi Region,Round 1
Computer Science and Engineering,General,520 (5178),A) Delhi Region,Round 1
Computer Science and Social Sciences,General,1788 (13339),A) Delhi Region,Round 1
Electronics and Communication Engineering,General,2398 (17527),A) Delhi Region,Round 1
Electronics and VLSI Engineering,General,2979 (21932),A) Delhi Region,Round 1
Computer Science and Applied Mathematics,General,-,B) Outside Delhi Region,Round 1
Computer Science and Artificial Intelligence,General,-,B) Outside Delhi Region,Round 1
Computer Science and Biosciences,General,-,B) Outside Delhi Region,Round 1
Computer Science and Design,General,59 (981),B) Outside Delhi Region,Round 1
Computer Science and Engineering,General,-,B) Outside Delhi Region,Round 1
Computer Science and Social Sciences,General,-,B) Outside Delhi Region,Round 1
Electronics and Communication Engineering,General,66 (1104),B) Outside Delhi Region,Round 1
Electronics and VLSI Engineering,General,534 (5310),B) Outside Delhi Region,Round 1
Computer Science and Applied Mathematics,General,1793 (13376),A) Delhi Region,Round 2
Computer Science and Artificial Intelligence,General,520 (5178),A) Delhi Region,Round 2
Computer Science and Biosciences,General,2783 (20359),A) Delhi Region,Round 2
Computer Science and Design,General,2178 (16002),A) Delhi Region,Round 2
Computer Science and Engineering,General,990 (8322),A) Delhi Region,Round 2
Computer Science and Social Sciences,General,2342 (17123),A) Delhi Region,Round 2
Electronics and Communication Engineering,General,3366 (25049),A) Delhi Region,Round 2
Electronics and VLSI Engineering,General,3703 (27753),A) Delhi Region,Round 2
Computer Science and Applied Mathematics,General,-,B) Outside Delhi Region,Round 2
Computer Science and Artificial Intelligence,General,-,B) Outside Delhi Region,Round 2
Computer Science and Biosciences,General,440 (4554),B) Outside Delhi Region,Round 2
Computer Science and Design,General,-,B) Outside Delhi Region,Round 2
Computer Science and Engineering,General,-,B) Outside Delhi Region,Round 2
Computer Science and Social Sciences,General,-,B) Outside Delhi Region,Round 2
Electronics and Communication Engineering,General,458 (4662),B) Outside Delhi Region,Round 2
Electronics and VLSI Engineering,General,683 (6324),B) Outside Delhi Region,Round 2
Computer Science and Applied Mathematics,General,1808 (13376),A) Delhi Region,Round 3
Computer Science and Artificial Intelligence,General,707 (6427),A) Delhi Region,Round 3
Computer Science and Biosciences,General,2888 (20971),A) Delhi Region,Round 3
Computer Science and Design,General,2198 (16002),A) Delhi Region,Round 3
Computer Science and Engineering,General,1009 (8385),A) Delhi Region,Round 3
Computer Science and Social Sciences,General,2407 (17419),A) Delhi Region,Round 3
Electronics and Communication Engineering,General,3506 (25840),A) Delhi Region,Round 3
Electronics and VLSI Engineering,General,3947 (29308),A) Delhi Region,Round 3
Computer Science and Applied Mathematics,General,-,B) Outside Delhi Region,Round 3
Computer Science and Artificial Intelligence,General,-,B) Outside Delhi Region,Round 3
Computer Science and Biosciences,General,460 (4659),B) Outside Delhi Region,Round 3
Computer Science and Design,General,-,B) Outside Delhi Region,Round 3
Computer Science and Engineering,General,-,B) Outside Delhi Region,Round 3
Computer Science and Social Sciences,General,-,B) Outside Delhi Region,Round 3
Electronics and Communication Engineering,General,634 (6006),B) Outside Delhi Region,Round 3
Electronics and VLSI Engineering,General,869 (7444),B) Outside Delhi Region,Round 3
Computer Science and Applied Mathematics,General,2218 (16114),A) Delhi Region,Round 4
Computer Science and Artificial Intelligence,General,1052 (8683),A) Delhi Region,Round 4
Computer Science and Biosciences,General,3435 (25174),A) Delhi Region,Round 4
Computer Science and Design,General,2835 (20553),A) Delhi Region,Round 4
Computer Science and Engineering,General,1326 (10347),A) Delhi Region,Round 4
Computer Science and Social Sciences,General,2832 (20492),A) Delhi Region,Round 4
Electronics and Communication Engineering,General,4008 (29806),A) Delhi Region,Round 4
Electronics and VLSI Engineering,General,4676 (35636),A) Delhi Region,Round 4
Computer Science and Applied Mathematics,General,461 (4662),B) Outside Delhi Region,Round 4
Computer Science and Artificial Intelligence,General,188 (2485),B) Outside Delhi Region,Round 4
Computer Science and Biosciences,General,900 (7630),B) Outside Delhi Region,Round 4
Computer Science and Design,General,462 (4667),B) Outside Delhi Region,Round 4
Computer Science and Engineering,General,-,B) Outside Delhi Region,Round 4
Computer Science and Social Sciences,General,778 (6870),B) Outside Delhi Region,Round 4
Electronics and Communication Engineering,General,819 (7174),B) Outside Delhi Region,Round 4
Electronics and VLSI Engineering,General,1076 (8818),B) Outside Delhi Region,Round 4
Computer Science and Applied Mathematics,General,16304,A) Delhi Region,Upgradation Round
Computer Science and Artificial Intelligence,General,8683,A) Delhi Region,Upgradation Round
Computer Science and Biosciences,General,25174,A) Delhi Region,Upgradation Round
Computer Science and Design,General,20553,A) Delhi Region,Upgradation Round
Computer Science and Engineering,General,10347,A) Delhi Region,Upgradation Round
Computer Science and Social Sciences,General,23216,A) Delhi Region,Upgradation Round
Electronics and Communication Engineering,General,31066,A) Delhi Region,Upgradation Round
Electronics and VLSI Engineering,General,37265,A) Delhi Region,Upgradation Round
Computer Science and Applied Mathematics,General,6584,B) Outside Delhi Region,Upgradation Round
