Region,Branch,Jee Rank
"4-Year
                                                                                            B.E./B.Tech.
                                                                                            Course",Bio-Technology,57223
"4-Year
                                                                                            B.E./B.Tech.
                                                                                            Course",Computer Science and Engineering,7050
"4-Year
                                                                                            B.E./B.Tech.
                                                                                            Course","Computer Science and Engineering
                                                                                    with specialization in Artificial
                                                                                    Intelligence",4378
"4-Year
                                                                                            B.E./B.Tech.
                                                                                            Course","Computer Science and Engineering
                                                                                    with specialization in Data Science",8677
"4-Year
                                                                                            B.E./B.Tech.
                                                                                            Course",Electrical Engineering,28512
"4-Year
                                                                                            B.E./B.Tech.
                                                                                            Course","Electronics and Communication
                                                                                    Engineering",21184
"4-Year
                                                                                            B.E./B.Tech.
                                                                                            Course","Electronics Engineering with
                                                                                    specialization in VLSI Design and
                                                                                    Technology",22617
"4-Year
                                                                                            B.E./B.Tech.
                                                                                            Course",Information Technology,12421
"4-Year
                                                                                            B.E./B.Tech.
                                                                                            Course","Information Technology with
                                                                                    specialization in Network and
                                                                                    Information Security",14907
"4-Year
                                                                                            B.E./B.Tech.
                                                                                            Course","Instrumentation and Control
                                                                                    Engineering",34237
"4-Year
                                                                                            B.E./B.Tech.
                                                                                            Course",Mathematics and Computing,16753
"4-Year
                                                                                            B.E./B.Tech.
                                                                                            Course",Mechanical Engineering,40984
"4-Year
                                                                                            B.E./B.Tech.
                                                                                            Course",Bio-Technology,18334
"4-Year
                                                                                            B.E./B.Tech.
                                                                                            Course",Computer Science and Engineering,2818
"4-Year
                                                                                            B.E./B.Tech.
                                                                                            Course","Computer Science and Engineering
                                                                                    with specialization in Artificial
                                                                                    Intelligence",2473
"4-Year
                                                                                            B.E./B.Tech.
                                                                                            Course","Computer Science and Engineering
                                                                                    with specialization in Data Science",3534
"4-Year
                                                                                            B.E./B.Tech.
                                                                                            Course",Electrical Engineering,8547
"4-Year
                                                                                            B.E./B.Tech.
                                                                                            Course","Electronics and Communication
                                                                                    Engineering",6350
"4-Year
                                                                                            B.E./B.Tech.
                                                                                            Course","Electronics Engineering with
                                                                                    specialization in VLSI Design and
                                                                                    Technology",7525
"4-Year
                                                                                            B.E./B.Tech.
                                                                                            Course",Information Technology,4288
"4-Year
                                                                                            B.E./B.Tech.
                                                                                            Course","Information Technology with
                                                                                    specialization in Network and
                                                                                    Information Security",4914
"4-Year
                                                                                            B.E./B.Tech.
                                                                                            Course","Instrumentation and Control
                                                                                    Engineering",10142
"4-Year
                                                                                            B.E./B.Tech.
                                                                                            Course",Mathematics and Computing,5202
"4-Year
                                                                                            B.E./B.Tech.
                                                                                            Course",Mechanical Engineering,12205
"4-Year
                                                                                            B.E./B.Tech.
                                                                                            Course",Branch,Max JEE(M) Rank
"4-Year
                                                                                            B.E./B.Tech.
                                                                                            Course",Bio-Technology,61744
"4-Year
                                                                                            B.E./B.Tech.
                                                                                            Course",Computer Science and Engineering,9514
"4-Year
                                                                                            B.E./B.Tech.
                                                                                            Course","Computer Science and Engineering
                                                                                    with specialization in Artificial
                                                                                    Intelligence",6612
"4-Year
                                                                                            B.E./B.Tech.
                                                                                            Course","Computer Science and Engineering
                                                                                    with specialization in Data Science",12202
"4-Year
                                                                                            B.E./B.Tech.
                                                                                            Course",Electrical Engineering,33297
"4-Year
                                                                                            B.E./B.Tech.
                                                                                            Course","Electronics and Communication
                                                                                    Engineering",24457
"4-Year
                                                                                            B.E./B.Tech.
                                                                                            Course","Electronics Engineering with
                                                                                    specialization in VLSI Design and
                                                                                    Technology",25769
"4-Year
                                                                                            B.E./B.Tech.
                                                                                            Course",Information Technology,16098
"4-Year
                                                                                            B.E./B.Tech.
                                                                                            Course","Information Technology with
                                                                                    specialization in Network and
                                                                                    Information Security",18878
"4-Year
                                                                                            B.E./B.Tech.
                                                                                            Course","Instrumentation and Control
                                                                                    Engineering",37900
"4-Year
                                                                                            B.E./B.Tech.
                                                                                            Course",Mathematics and Computing,19943
"4-Year
                                                                                            B.E./B.Tech.
                                                                                            Course",Mechanical Engineering,46516
"4-Year
                                                                                            B.E./B.Tech.
                                                                                            Course",Bio-Technology,20651
"4-Year
                                                                                            B.E./B.Tech.
                                                                                            Course",Computer Science and Engineering,5104
"4-Year
                                                                                            B.E./B.Tech.
                                                                                            Course","Computer Science and Engineering
                                                                                    with specialization in Artificial
                                                                                    Intelligence",4787
"4-Year
                                                                                            B.E./B.Tech.
                                                                                            Course","Computer Science and Engineering
                                                                                    with specialization in Data Science",5333
"4-Year
                                                                                            B.E./B.Tech.
                                                                                            Course",Electrical Engineering,10763
"4-Year
                                                                                            B.E./B.Tech.
                                                                                            Course","Electronics and Communication
                                                                                    Engineering",8478
"4-Year
                                                                                            B.E./B.Tech.
                                                                                            Course","Electronics Engineering with
                                                                                    specialization in VLSI Design and
                                                                                    Technology",9149
"4-Year
                                                                                            B.E./B.Tech.
                                                                                            Course",Information Technology,5535
"4-Year
                                                                                            B.E./B.Tech.
                                                                                            Course","Information Technology with
                                                                                    specialization in Network and
                                                                                    Information Security",6674
"4-Year
                                                                                            B.E./B.Tech.
                                                                                            Course","Instrumentation and Control
                                                                                    Engineering",11958
"4-Year
                                                                                            B.E./B.Tech.
                                                                                            Course",Mathematics and Computing,6734
"4-Year
                                                                                            B.E./B.Tech.
                                                                                            Course",Mechanical Engineering,16432
"4-Year
                                                                                            B.E./B.Tech.
                                                                                            Course",Branch,Max JEE(M) Rank
"4-Year
                                                                                            B.E./B.Tech.
                                                                                            Course",Bio-Technology,63744
"4-Year
                                                                                            B.E./B.Tech.
                                                                                            Course",Computer Science and Engineering,9514
"4-Year
                                                                                            B.E./B.Tech.
                                                                                            Course","Computer Science and Engineering
                                                                                    with specialization in Artificial
                                                                                    Intelligence",6612
"4-Year
                                                                                            B.E./B.Tech.
                                                                                            Course","Computer Science and Engineering
                                                                                    with specialization in Data Science",12202
"4-Year
                                                                                            B.E./B.Tech.
                                                                                            Course",Electrical Engineering,33297
"4-Year
                                                                                            B.E./B.Tech.
                                                                                            Course","Electronics and Communication
                                                                                    Engineering",24557
"4-Year
                                                                                            B.E./B.Tech.
                                                                                            Course","Electronics Engineering with
                                                                                    specialization in VLSI Design and
                                                                                    Technology",25769
"4-Year
                                                                                            B.E./B.Tech.
                                                                                            Course",Information Technology,16101
"4-Year
                                                                                            B.E./B.Tech.
                                                                                            Course","Information Technology with
                                                                                    specialization in Network and
                                                                                    Information Security",18878
"4-Year
                                                                                            B.E./B.Tech.
                                                                                            Course","Instrumentation and Control
                                                                                    Engineering",39140
"4-Year
                                                                                            B.E./B.Tech.
                                                                                            Course",Mathematics and Computing,19943
"4-Year
                                                                                            B.E./B.Tech.
                                                                                            Course",Mechanical Engineering,47948
"4-Year
                                                                                            B.E./B.Tech.
                                                                                            Course",Bio-Technology,23624
"4-Year
                                                                                            B.E./B.Tech.
                                                                                            Course",Computer Science and Engineering,5560
"4-Year
                                                                                            B.E./B.Tech.
                                                                                            Course","Computer Science and Engineering
                                                                                    with specialization in Artificial
                                                                                    Intelligence",5226
"4-Year
                                                                                            B.E./B.Tech.
                                                                                            Course","Computer Science and Engineering
                                                                                    with specialization in Data Science",6286
"4-Year
                                                                                            B.E./B.Tech.
                                                                                            Course",Electrical Engineering,11581
"4-Year
                                                                                            B.E./B.Tech.
                                                                                            Course","Electronics and Communication
                                                                                    Engineering",9422
"4-Year
                                                                                            B.E./B.Tech.
                                                                                            Course","Electronics Engineering with
                                                                                    specialization in VLSI Design and
                                                                                    Technology",9755
"4-Year
                                                                                            B.E./B.Tech.
                                                                                            Course",Information Technology,6734
"4-Year
                                                                                            B.E./B.Tech.
                                                                                            Course","Information Technology with
                                                                                    specialization in Network and
                                                                                    Information Security",7605
"4-Year
                                                                                            B.E./B.Tech.
                                                                                            Course","Instrumentation and Control
                                                                                    Engineering",13176
"4-Year
                                                                                            B.E./B.Tech.
                                                                                            Course",Mathematics and Computing,7288
"4-Year
                                                                                            B.E./B.Tech.
                                                                                            Course",Mechanical Engineering,17447
"4-Year
                                                                                            B.E./B.Tech.
                                                                                            Course",Branch,Max JEE(M) Rank
"4-Year
                                                                                            B.E./B.Tech.
                                                                                            Course",Bio-Technology,65196
"4-Year
                                                                                            B.E./B.Tech.
                                                                                            Course",Computer Science and Engineering,9869
"4-Year
                                                                                            B.E./B.Tech.
                                                                                            Course","Computer Science and Engineering
                                                                                    with specialization in Artificial
                                                                                    Intelligence",6798
"4-Year
                                                                                            B.E./B.Tech.
                                                                                            Course","Computer Science and Engineering
                                                                                    with specialization in Data Science",12202
"4-Year
                                                                                            B.E./B.Tech.
                                                                                            Course",Electrical Engineering,33581
