Branch,Category,Jee_Rank,Region,Round
Bio-Technology,General,57223,A) Delhi Region,Round 1
Computer Science and Engineering,General,7050,A) Delhi Region,Round 1
Computer Science and Engineering with specialization in Artificial Intelligence,General,4378,A) Delhi Region,Round 1
Computer Science and Engineering with specialization in Data Science,General,8677,A) Delhi Region,Round 1
Electrical Engineering,General,28512,A) Delhi Region,Round 1
Electronics and Communication Engineering,General,21184,A) Delhi Region,Round 1
Electronics Engineering with specialization in VLSI Design and Technology,General,22617,A) Delhi Region,Round 1
Information Technology,General,12421,A) Delhi Region,Round 1
Information Technology with specialization in Network and Information Security,General,14907,A) Delhi Region,Round 1
Instrumentation and Control Engineering,General,34237,A) Delhi Region,Round 1
Mathematics and Computing,General,16753,A) Delhi Region,Round 1
Mechanical Engineering,General,40984,A) Delhi Region,Round 1
Bio-Technology,General,18334,B) Outside Delhi Region,Round 1
Computer Science and Engineering,General,2818,B) Outside Delhi Region,Round 1
Computer Science and Engineering with specialization in Artificial Intelligence,General,2473,B) Outside Delhi Region,Round 1
Computer Science and Engineering with specialization in Data Science,General,3534,B) Outside Delhi Region,Round 1
Electrical Engineering,General,8547,B) Outside Delhi Region,Round 1
Electronics and Communication Engineering,General,6350,B) Outside Delhi Region,Round 1
Electronics Engineering with specialization in VLSI Design and Technology,General,7525,B) Outside Delhi Region,Round 1
Information Technology,General,4288,B) Outside Delhi Region,Round 1
Information Technology with specialization in Network and Information Security,General,4914,B) Outside Delhi Region,Round 1
Instrumentation and Control Engineering,General,10142,B) Outside Delhi Region,Round 1
Mathematics and Computing,General,5202,B) Outside Delhi Region,Round 1
Mechanical Engineering,General,12205,B) Outside Delhi Region,Round 1
Bio-Technology,General,61744,A) Delhi Region,Round 2
Computer Science and Engineering,General,9514,A) Delhi Region,Round 2
Computer Science and Engineering with specialization in Artificial Intelligence,General,6612,A) Delhi Region,Round 2
Computer Science and Engineering with specialization in Data Science,General,12202,A) Delhi Region,Round 2
Electrical Engineering,General,33297,A) Delhi Region,Round 2
Electronics and Communication Engineering,General,24457,A) Delhi Region,Round 2
Electronics Engineering with specialization in VLSI Design and Technology,General,25769,A) Delhi Region,Round 2
Information Technology,General,16098,A) Delhi Region,Round 2
Information Technology with specialization in Network and Information Security,General,18878,A) Delhi Region,Round 2
Instrumentation and Control Engineering,General,37900,A) Delhi Region,Round 2
Mathematics and Computing,General,19943,A) Delhi Region,Round 2
Mechanical Engineering,General,46516,A) Delhi Region,Round 2
Bio-Technology,General,20651,B) Outside Delhi Region,Round 2
Computer Science and Engineering,General,5104,B) Outside Delhi Region,Round 2
Computer Science and Engineering with specialization in Artificial Intelligence,General,4787,B) Outside Delhi Region,Round 2
Computer Science and Engineering with specialization in Data Science,General,5333,B) Outside Delhi Region,Round 2
Electrical Engineering,General,10763,B) Outside Delhi Region,Round 2
Electronics and Communication Engineering,General,8478,B) Outside Delhi Region,Round 2
Electronics Engineering with specialization in VLSI Design and Technology,General,9149,B) Outside Delhi Region,Round 2
Information Technology,General,5535,B) Outside Delhi Region,Round 2
Information Technology with specialization in Network and Information Security,General,6674,B) Outside Delhi Region,Round 2
Instrumentation and Control Engineering,General,11958,B) Outside Delhi Region,Round 2
Mathematics and Computing,General,6734,B) Outside Delhi Region,Round 2
Mechanical Engineering,General,16432,B) Outside Delhi Region,Round 2
Bio-Technology,General,63744,A) Delhi Region,Round 3
Computer Science and Engineering,General,9514,A) Delhi Region,Round 3
Computer Science and Engineering with specialization in Artificial Intelligence,General,6612,A) Delhi Region,Round 3
Computer Science and Engineering with specialization in Data Science,General,12202,A) Delhi Region,Round 3
Electrical Engineering,General,33297,A) Delhi Region,Round 3
Electronics and Communication Engineering,General,24557,A) Delhi Region,Round 3
Electronics Engineering with specialization in VLSI Design and Technology,General,25769,A) Delhi Region,Round 3
Information Technology,General,16101,A) Delhi Region,Round 3
Information Technology with specialization in Network and Information Security,General,18878,A) Delhi Region,Round 3
Instrumentation and Control Engineering,General,39140,A) Delhi Region,Round 3
Mathematics and Computing,General,19943,A) Delhi Region,Round 3
Mechanical Engineering,General,47948,A) Delhi Region,Round 3
Bio-Technology,General,23624,B) Outside Delhi Region,Round 3
Computer Science and Engineering,General,5560,B) Outside Delhi Region,Round 3
Computer Science and Engineering with specialization in Artificial Intelligence,General,5226,B) Outside Delhi Region,Round 3
Computer Science and Engineering with specialization in Data Science,General,6286,B) Outside Delhi Region,Round 3
Electrical Engineering,General,11581,B) Outside Delhi Region,Round 3
Electronics and Communication Engineering,General,9422,B) Outside Delhi Region,Round 3
Electronics Engineering with specialization in VLSI Design and Technology,General,9755,B) Outside Delhi Region,Round 3
Information Technology,General,6734,B) Outside Delhi Region,Round 3
Information Technology with specialization in Network and Information Security,General,7605,B) Outside Delhi Region,Round 3
Instrumentation and Control Engineering,General,13176,B) Outside Delhi Region,Round 3
Mathematics and Computing,General,7288,B) Outside Delhi Region,Round 3
Mechanical Engineering,General,17447,B) Outside Delhi Region,Round 3
Bio-Technology,General,65196,A) Delhi Region,Round 4
Computer Science and Engineering,General,9869,A) Delhi Region,Round 4
Computer Science and Engineering with specialization in Artificial Intelligence,General,6798,A) Delhi Region,Round 4
Computer Science and Engineering with specialization in Data Science,General,12202,A) Delhi Region,Round 4
Electrical Engineering,General,33581,A) Delhi Region,Round 4
Electronics and Communication Engineering,General,25063,A) Delhi Region,Round 4
Electronics Engineering with specialization in VLSI Design and Technology,General,26514,A) Delhi Region,Round 4
Information Technology,General,16444,A) Delhi Region,Round 4
Information Technology with specialization in Network and Information Security,General,18878,A) Delhi Region,Round 4
Instrumentation and Control Engineering,General,39921,A) Delhi Region,Round 4
Mathematics and Computing,General,20006,A) Delhi Region,Round 4
Mechanical Engineering,General,48544,A) Delhi Region,Round 4
Bio-Technology,General,25778,B) Outside Delhi Region,Round 4
Computer Science and Engineering,General,6058,B) Outside Delhi Region,Round 4
Computer Science and Engineering with specialization in Artificial Intelligence,General,5283,B) Outside Delhi Region,Round 4
Computer Science and Engineering with specialization in Data Science,General,6631,B) Outside Delhi Region,Round 4
Electrical Engineering,General,13176,B) Outside Delhi Region,Round 4
Electronics and Communication Engineering,General,10130,B) Outside Delhi Region,Round 4
Electronics Engineering with specialization in VLSI Design and Technology,General,10856,B) Outside Delhi Region,Round 4
Information Technology,General,7417,B) Outside Delhi Region,Round 4
Information Technology with specialization in Network and Information Security,General,8150,B) Outside Delhi Region,Round 4
Instrumentation and Control Engineering,General,15550,B) Outside Delhi Region,Round 4
Mathematics and Computing,General,8535,B) Outside Delhi Region,Round 4
Mechanical Engineering,General,19340,B) Outside Delhi Region,Round 4
Bio-Technology,General,79890,A) Delhi Region,Round 5
Computer Science and Engineering,General,12803,A) Delhi Region,Round 5
Computer Science and Engineering with specialization in Artificial Intelligence,General,9717,A) Delhi Region,Round 5
Computer Science and Engineering with specialization in Data Science,General,15264,A) Delhi Region,Round 5
Electrical Engineering,General,39515,A) Delhi Region,Round 5
Electronics and Communication Engineering,General,30182,A) Delhi Region,Round 5
Electronics Engineering with specialization in VLSI Design and Technology,General,31542,A) Delhi Region,Round 5
Information Technology,General,19074,A) Delhi Region,Round 5
Information Technology with specialization in Network and Information Security,General,21874,A) Delhi Region,Round 5
Instrumentation and Control Engineering,General,49909,A) Delhi Region,Round 5
Mathematics and Computing,General,24436,A) Delhi Region,Round 5
Mechanical Engineering,General,61154,A) Delhi Region,Round 5
Bio-Technology,General,29585,B) Outside Delhi Region,Round 5
Computer Science and Engineering,General,8168,B) Outside Delhi Region,Round 5
Computer Science and Engineering with specialization in Artificial Intelligence,General,7417,B) Outside Delhi Region,Round 5
Computer Science and Engineering with specialization in Data Science,General,8757,B) Outside Delhi Region,Round 5
Electrical Engineering,General,16229,B) Outside Delhi Region,Round 5
Electronics and Communication Engineering,General,12368,B) Outside Delhi Region,Round 5
Electronics Engineering with specialization in VLSI Design and Technology,General,12959,B) Outside Delhi Region,Round 5
Information Technology,General,9422,B) Outside Delhi Region,Round 5
Information Technology with specialization in Network and Information Security,General,10632,B) Outside Delhi Region,Round 5
Instrumentation and Control Engineering,General,18602,B) Outside Delhi Region,Round 5
