Branch,Category,Jee_Rank,Region,Round
Artificial Intelligence and Machine Learning,GEN,54113,D,1
Computer Science and Engineering,GEN,43914,D,1
Computer Science and Engineering with specialization in Artificial Intelligence,GEN,39476,D,1
Electronics and Communication Engineering,GEN,69167,D,1
Electronics and Communication Engineering with specialization in Artificial Intelligence,GEN,66612,D,1
Information Technology,GEN,55952,D,1
Mechanical and Automation Engineering,GEN,80688,D,1
Architecture,GEN,3277,D,1
B.Tech Mechanical and Automation Engineering + MBA,GEN,82511,D,1
Artificial Intelligence and Machine Learning,GEN,17031,OD,1
Computer Science and Engineering,GEN,13111,OD,1
Computer Science and Engineering with specialization in Artificial Intelligence,GEN,15001,OD,1
Electronics and Communication Engineering,GEN,18170,OD,1
Electronics and Communication Engineering with specialization in Artificial Intelligence,GEN,20758,OD,1
Information Technology,GEN,15742,OD,1
Mechanical and Automation Engineering,GEN,27900,OD,1
Architecture,GEN,1067,OD,1
B.Tech Mechanical and Automation Engineering + MBA,GEN,24707,OD,1
Artificial Intelligence and Machine Learning,GEN,60649,D,2
Computer Science and Engineering,GEN,49565,D,2
Computer Science and Engineering with specialization in Artificial Intelligence,GEN,43816,D,2
Electronics and Communication Engineering,GEN,75066,D,2
Electronics and Communication Engineering with specialization in Artificial Intelligence,GEN,72959,D,2
Information Technology,GEN,63483,D,2
Mechanical and Automation Engineering,GEN,85966,D,2
Architecture,GEN,4336,D,2
B.Tech Mechanical and Automation Engineering + MBA,GEN,93184,D,2
Artificial Intelligence and Machine Learning,GEN,22633,OD,2
Computer Science and Engineering,GEN,19710,OD,2
Computer Science and Engineering with specialization in Artificial Intelligence,GEN,21377,OD,2
Electronics and Communication Engineering,GEN,25313,OD,2
Electronics and Communication Engineering with specialization in Artificial Intelligence,GEN,26468,OD,2
Information Technology,GEN,24214,OD,2
Mechanical and Automation Engineering,GEN,32792,OD,2
Architecture,GEN,1174,OD,2
B.Tech Mechanical and Automation Engineering + MBA,GEN,34794,OD,2
Artificial Intelligence and Machine Learning,GEN,60649,D,3
Computer Science and Engineering,GEN,49565,D,3
Computer Science and Engineering with specialization in Artificial Intelligence,GEN,43816,D,3
Electronics and Communication Engineering,GEN,75275,D,3
Electronics and Communication Engineering with specialization in Artificial Intelligence,GEN,73723,D,3
Information Technology,GEN,63483,D,3
Mechanical and Automation Engineering,GEN,86401,D,3
Architecture,GEN,4868,D,3
B.Tech Mechanical and Automation Engineering + MBA,GEN,95269,D,3
Artificial Intelligence and Machine Learning,GEN,26468,OD,3
Computer Science and Engineering,GEN,20440,OD,3
Computer Science and Engineering with specialization in Artificial Intelligence,GEN,22498,OD,3
Electronics and Communication Engineering,GEN,28148,OD,3
Electronics and Communication Engineering with specialization in Artificial Intelligence,GEN,28910,OD,3
Information Technology,GEN,26179,OD,3
Mechanical and Automation Engineering,GEN,35362,OD,3
Architecture,GEN,2003,OD,3
B.Tech Mechanical and Automation Engineering + MBA,GEN,35382,OD,3
Artificial Intelligence and Machine Learning,GEN,61924,D,4
Computer Science and Engineering,GEN,49565,D,4
Computer Science and Engineering with specialization in Artificial Intelligence,GEN,43816,D,4
Electronics and Communication Engineering,GEN,76175,D,4
Electronics and Communication Engineering with specialization in Artificial Intelligence,GEN,74410,D,4
Information Technology,GEN,63483,D,4
Mechanical and Automation Engineering,GEN,86401,D,4
Architecture,GEN,5552,D,4
B.Tech Mechanical and Automation Engineering + MBA,GEN,95269,D,4
Artificial Intelligence and Machine Learning,GEN,27458,OD,4
Computer Science and Engineering,GEN,20563,OD,4
Computer Science and Engineering with specialization in Artificial Intelligence,GEN,23755,OD,4
Electronics and Communication Engineering,GEN,29050,OD,4
Electronics and Communication Engineering with specialization in Artificial Intelligence,GEN,29244,OD,4
Information Technology,GEN,26234,OD,4
Mechanical and Automation Engineering,GEN,38759,OD,4
Architecture,GEN,2364,OD,4
B.Tech Mechanical and Automation Engineering + MBA,GEN,38152,OD,4
Artificial Intelligence and Machine Learning,GEN,69333,D,5
Computer Science and Engineering,GEN,53980,D,5
Computer Science and Engineering with specialization in Artificial Intelligence,GEN,45739,D,5
Electronics and Communication Engineering,GEN,82462,D,5
Electronics and Communication Engineering with specialization in Artificial Intelligence,GEN,80292,D,5
Information Technology,GEN,68272,D,5
Mechanical and Automation Engineering,GEN,98257,D,5
Architecture,GEN,6954,D,5
B.Tech Mechanical and Automation Engineering + MBA,GEN,105940,D,5
Artificial Intelligence and Machine Learning,GEN,31349,OD,5
Computer Science and Engineering,GEN,25613,OD,5
Computer Science and Engineering with specialization in Artificial Intelligence,GEN,28410,OD,5
Electronics and Communication Engineering,GEN,32355,OD,5
Electronics and Communication Engineering with specialization in Artificial Intelligence,GEN,33187,OD,5
Information Technology,GEN,30706,OD,5
Mechanical and Automation Engineering,GEN,42614,OD,5
Architecture,GEN,2490,OD,5
B.Tech Mechanical and Automation Engineering + MBA,GEN,39598,OD,5
Artificial Intelligence and Machine Learning,GEN,69720,D,U1
Computer Science and Engineering,GEN,53980,D,U1
Computer Science and Engineering with specialization in Artificial Intelligence,GEN,45739,D,U1
Electronics and Communication Engineering,GEN,83306,D,U1
Electronics and Communication Engineering with specialization in Artificial Intelligence,GEN,81697,D,U1
Information Technology,GEN,69903,D,U1
Mechanical and Automation Engineering,GEN,105724,D,U1
Architecture,GEN,27568,D,U1
Artificial Intelligence and Machine Learning,GEN,43342,OD,U1
Computer Science and Engineering,GEN,26420,OD,U1
Computer Science and Engineering with specialization in Artificial Intelligence,GEN,28594,OD,U1
Information Technology,GEN,34794,OD,U1
Architecture,GEN,5379,OD,U1
Artificial Intelligence and Machine Learning,GEN,69720,D,S
Computer Science and Engineering,GEN,53980,D,S
Computer Science and Engineering with specialization in Artificial Intelligence,GEN,45739,D,S
Electronics and Communication Engineering,GEN,83306,D,S
Electronics and Communication Engineering with specialization in Artificial Intelligence,GEN,81697,D,S
Information Technology,GEN,69903,D,S
Mechanical and Automation Engineering,GEN,128107,D,S
Architecture,GEN,48802,D,S
B.Tech Mechanical and Automation Engineering + MBA,GEN,154285,D,S
Artificial Intelligence and Machine Learning,GEN,43342,OD,S
Computer Science and Engineering,GEN,26420,OD,S
Computer Science and Engineering with specialization in Artificial Intelligence,GEN,28594,OD,S
Electronics and Communication Engineering,GEN,36374,OD,S
Electronics and Communication Engineering with specialization in Artificial Intelligence,GEN,40990,OD,S
Information Technology,GEN,34794,OD,S
Mechanical and Automation Engineering,GEN,60252,OD,S
Architecture,GEN,6588,OD,S
B.Tech Mechanical and Automation Engineering + MBA,GEN,63718,OD,S
Artificial Intelligence and Machine Learning,GEN,70091,D,U2
Computer Science and Engineering,GEN,54113,D,U2
Computer Science and Engineering with specialization in Artificial Intelligence,GEN,46141,D,U2
Electronics and Communication Engineering,GEN,95269,D,U2
Electronics and Communication Engineering with specialization in Artificial Intelligence,GEN,81979,D,U2
Information Technology,GEN,71501,D,U2
Mechanical and Automation Engineering,GEN,1229762,D,U2
Architecture,GEN,48802,D,U2
B.Tech Mechanical and Automation Engineering + MBA,GEN,895172,D,U2
Artificial Intelligence and Machine Learning,GEN,43342,OD,U2
Computer Science and Engineering,GEN,26420,OD,U2
Computer Science and Engineering with specialization in Artificial Intelligence,GEN,29037,OD,U2
Electronics and Communication Engineering,GEN,60195,OD,U2
Electronics and Communication Engineering with specialization in Artificial Intelligence,GEN,47677,OD,U2
Information Technology,GEN,36013,OD,U2
Mechanical and Automation Engineering,GEN,334033,OD,U2
Architecture,GEN,6588,OD,U2
B.Tech Mechanical and Automation Engineering + MBA,GEN,359973,OD,U2
Artificial Intelligence and Machine Learning,GEN-DEF,104561,D,1
Computer Science and Engineering,GEN-DEF,97499,D,1
Computer Science and Engineering with specialization in Artificial Intelligence,GEN-DEF,75849,D,1
Electronics and Communication Engineering,GEN-DEF,125123,D,1
Electronics and Communication Engineering with specialization in Artificial Intelligence,GEN-DEF,161538,D,1
Information Technology,GEN-DEF,119580,D,1
Mechanical and Automation Engineering,GEN-DEF,194657,D,1
Architecture,GEN-DEF,29266,D,1
B.Tech Mechanical and Automation Engineering + MBA,GEN-DEF,223975,D,1
Computer Science and Engineering,GEN-DEF,95937,OD,1
Computer Science and Engineering with specialization in Artificial Intelligence,GEN-DEF,965191,OD,1
Electronics and Communication Engineering with specialization in Artificial Intelligence,GEN-DEF,202419,OD,1
Information Technology,GEN-DEF,201819,OD,1
Artificial Intelligence and Machine Learning,GEN-DEF,104561,D,2
Computer Science and Engineering,GEN-DEF,97673,D,2
Computer Science and Engineering with specialization in Artificial Intelligence,GEN-DEF,75849,D,2
Electronics and Communication Engineering,GEN-DEF,125123,D,2
Electronics and Communication Engineering with specialization in Artificial Intelligence,GEN-DEF,161538,D,2
Information Technology,GEN-DEF,119580,D,2
Mechanical and Automation Engineering,GEN-DEF,194657,D,2
Architecture,GEN-DEF,29266,D,2
B.Tech Mechanical and Automation Engineering + MBA,GEN-DEF,223975,D,2
Computer Science and Engineering,GEN-DEF,95937,OD,2
Computer Science and Engineering with specialization in Artificial Intelligence,GEN-DEF,965191,OD,2
Electronics and Communication Engineering with specialization in Artificial Intelligence,GEN-DEF,202419,OD,2
Information Technology,GEN-DEF,201819,OD,2
Artificial Intelligence and Machine Learning,GEN-DEF,104561,D,3
Computer Science and Engineering,GEN-DEF,97673,D,3
Computer Science and Engineering with specialization in Artificial Intelligence,GEN-DEF,75849,D,3
Electronics and Communication Engineering,GEN-DEF,125123,D,3
Electronics and Communication Engineering with specialization in Artificial Intelligence,GEN-DEF,161538,D,3
Information Technology,GEN-DEF,119580,D,3
Mechanical and Automation Engineering,GEN-DEF,194657,D,3
