Branch,Category,Jee_Rank,Region,Round
Computer Science and Applied Mathematics,GEN,1071 (9195),D,1
Computer Science and Artificial Intelligence,GEN,336 (4137),D,1
Computer Science and Biosciences,GEN,2187 (16197),D,1
Computer Science and Design,GEN,1320 (10826),D,1
Computer Science and Engineering,GEN,559 (5930),D,1
Computer Science and Social Sciences,GEN,1764 (13630),D,1
Electronics and Communication Engineering,GEN,2460 (17948),D,1
Electronics and VLSI Engineering,GEN,2889 (20625),D,1
Computer Science and Biosciences,GEN,378 (4570),OD,1
Computer Science and Design,GEN,54 (962),OD,1
Computer Science and Social Sciences,GEN,169 (2694),OD,1
Electronics and Communication Engineering,GEN,243 (3370),OD,1
Electronics and VLSI Engineering,GEN,420 (4875),OD,1
Computer Science and Applied Mathematics,GEN,1412 (11437),D,2
Computer Science and Artificial Intelligence,GEN,611 (6352),D,2
Computer Science and Biosciences,GEN,2653 (19179),D,2
Computer Science and Design,GEN,1777 (13718),D,2
Computer Science and Engineering,GEN,907 (8075),D,2
Computer Science and Social Sciences,GEN,2405 (17563),D,2
Electronics and Communication Engineering,GEN,3259 (22859),D,2
Electronics and VLSI Engineering,GEN,3572 (24625),D,2
Computer Science and Applied Mathematics,GEN,79 (1533),OD,2
Computer Science and Biosciences,GEN,585 (6184),OD,2
Computer Science and Design,GEN,387 (4674),OD,2
Computer Science and Social Sciences,GEN,409 (4802),OD,2
Electronics and Communication Engineering,GEN,593 (6249),OD,2
Electronics and VLSI Engineering,GEN,755 (7231),OD,2
Computer Science and Applied Mathematics,GEN,1428 (11437),D,3
Computer Science and Artificial Intelligence,GEN,617 (6352),D,3
Computer Science and Biosciences,GEN,2702 (19179),D,3
Computer Science and Design,GEN,1802 (13718),D,3
Computer Science and Engineering,GEN,915 (8075),D,3
Computer Science and Social Sciences,GEN,2410 (17356),D,3
Electronics and Communication Engineering,GEN,3331 (22859),D,3
Electronics and VLSI Engineering,GEN,3699 (24888),D,3
Computer Science and Applied Mathematics,GEN,82 (1533),OD,3
Computer Science and Biosciences,GEN,629 (6416),OD,3
Computer Science and Design,GEN,392 (4674),OD,3
Computer Science and Social Sciences,GEN,598 (6244),OD,3
Electronics and Communication Engineering,GEN,786 (7364),OD,3
Electronics and VLSI Engineering,GEN,899 (8002),OD,3
Computer Science and Applied Mathematics,GEN,1525 (12066),D,4
Computer Science and Artificial Intelligence,GEN,717 (6966),D,4
Computer Science and Biosciences,GEN,2794 (19746),D,4
Computer Science and Design,GEN,1819 (13825),D,4
Computer Science and Engineering,GEN,962 (8366),D,4
Computer Science and Social Sciences,GEN,2607 (18616),D,4
Electronics and Communication Engineering,GEN,3381 (23152),D,4
Electronics and VLSI Engineering,GEN,3801 (25596),D,4
Computer Science and Applied Mathematics,GEN,82 (1533),OD,4
Computer Science and Biosciences,GEN,791 (7383),OD,4
Computer Science and Design,GEN,392 (4674),OD,4
Computer Science and Social Sciences,GEN,659 (6587),OD,4
Electronics and Communication Engineering,GEN,797 (7401),OD,4
Electronics and VLSI Engineering,GEN,1046 (8914),OD,4
Computer Science and Applied Mathematics,GEN,1967 (14725),D,5
Computer Science and Artificial Intelligence,GEN,972 (8416),D,5
Computer Science and Biosciences,GEN,3506 (23771),D,5
Computer Science and Design,GEN,2494 (17905),D,5
Computer Science and Engineering,GEN,1493 (11874),D,5
Computer Science and Social Sciences,GEN,3331 (22859),D,5
Electronics and Communication Engineering,GEN,3996 (26762),D,5
Electronics and VLSI Engineering,GEN,4595 (30593),D,5
Computer Science and Applied Mathematics,GEN,509 (5489),OD,5
Computer Science and Biosciences,GEN,950 (8304),OD,5
Computer Science and Design,GEN,810 (7454),OD,5
Computer Science and Social Sciences,GEN,882 (7896),OD,5
Electronics and Communication Engineering,GEN,1014 (8670),OD,5
Electronics and VLSI Engineering,GEN,1232 (10141),OD,5
Computer Science and Applied Mathematics,GEN,14725,D,U1
Computer Science and Artificial Intelligence,GEN,8514,D,U1
Computer Science and Biosciences,GEN,23874,D,U1
Computer Science and Design,GEN,17905,D,U1
Computer Science and Engineering,GEN,11874,D,U1
Computer Science and Social Sciences,GEN,23404,D,U1
Electronics and Communication Engineering,GEN,26955,D,U1
Electronics and VLSI Engineering,GEN,31093,D,U1
Computer Science and Applied Mathematics,GEN,10850,OD,U1
Computer Science and Artificial Intelligence,GEN,3255,OD,U1
Computer Science and Biosciences,GEN,14172,OD,U1
Computer Science and Design,GEN,13548,OD,U1
Computer Science and Engineering,GEN,4674,OD,U1
Computer Science and Social Sciences,GEN,13976,OD,U1
Electronics and Communication Engineering,GEN,23141,OD,U1
Electronics and VLSI Engineering,GEN,23469,OD,U1
Computer Science and Artificial Intelligence,GEN,9 (7529),D,S
Computer Science and Biosciences,GEN,1951 (26124),D,S
Computer Science and Design,GEN,1093 (20842),D,S
Computer Science and Engineering,GEN,426 (16472),D,S
Computer Science and Social Sciences,GEN,1607 (23984),D,S
Electronics and Communication Engineering,GEN,1460 (23081),D,S
Electronics and VLSI Engineering,GEN,2688 (30767),D,S
Computer Science and Applied Mathematics,GEN,33 (12110),OD,S
Computer Science and Artificial Intelligence,GEN,18 (10034),OD,S
Computer Science and Design,GEN,22 (11373),OD,S
Computer Science and Engineering,GEN,17 (10012),OD,S
Electronics and Communication Engineering,GEN,144 (14073),OD,S
Electronics and VLSI Engineering,GEN,281 (15155),OD,S
Computer Science and Applied Mathematics,GEN,1093 (20842),D,1
Computer Science and Artificial Intelligence,GEN,426 (16472),D,1
Computer Science and Design,GEN,1610 (24174),D,1
Computer Science and Engineering,GEN,99 (13485),D,1
Computer Science and Social Sciences,GEN,1951 (26124),D,1
Electronics and Communication Engineering,GEN,3288 (34274),D,1
Electronics and VLSI Engineering,GEN,3446 (35085),D,1
Computer Science and Applied Mathematics,GEN,33 (12110),OD,1
Computer Science and Artificial Intelligence,GEN,22 (11373),OD,1
Computer Science and Engineering,GEN,19 (10334),OD,1
Electronics and Communication Engineering,GEN,144 (14073),OD,1
Computer Science and Applied Mathematics,GEN,1105 (20842),D,2
Computer Science and Artificial Intelligence,GEN,431 (16472),D,2
Computer Science and Design,GEN,1632 (24174),D,2
Computer Science and Engineering,GEN,102 (13485),D,2
Computer Science and Social Sciences,GEN,1979 (26124),D,2
Electronics and Communication Engineering,GEN,3362 (34274),D,2
Electronics and VLSI Engineering,GEN,3524 (35085),D,2
Computer Science and Applied Mathematics,GEN,34 (12110),OD,2
Computer Science and Artificial Intelligence,GEN,23 (11373),OD,2
Computer Science and Engineering,GEN,19 (10334),OD,2
Electronics and Communication Engineering,GEN,148 (14073),OD,2
Computer Science and Applied Mathematics,GEN,1477 (23081),D,3
Computer Science and Artificial Intelligence,GEN,431 (16472),D,3
Computer Science and Design,GEN,1632 (24174),D,3
Computer Science and Engineering,GEN,102 (13485),D,3
Computer Science and Social Sciences,GEN,1979 (26124),D,3
Electronics and Communication Engineering,GEN,3362 (34274),D,3
Electronics and VLSI Engineering,GEN,3524 (35085),D,3
Computer Science and Applied Mathematics,GEN,34 (12110),OD,3
Computer Science and Artificial Intelligence,GEN,23 (11373),OD,3
Computer Science and Engineering,GEN,19 (10334),OD,3
Electronics and Communication Engineering,GEN,148 (14073),OD,3
Computer Science and Applied Mathematics,GEN,1866 (25437),D,4
Computer Science and Artificial Intelligence,GEN,9 (7529),D,4
Computer Science and Biosciences,GEN,3524 (35085),D,4
Computer Science and Design,GEN,1919 (25695),D,4
Computer Science and Engineering,GEN,1105 (20842),D,4
Electronics and Communication Engineering,GEN,3974 (38034),D,4
Computer Science and Artificial Intelligence,GEN,148 (14073),OD,4
Computer Science and Engineering,GEN,19 (10334),OD,4
Computer Science and Applied Mathematics,GEN,25437,D,5
Computer Science and Artificial Intelligence,GEN,7529,D,5
Computer Science and Biosciences,GEN,35085,D,5
Computer Science and Design,GEN,25695,D,5
Computer Science and Engineering,GEN,20842,D,5
Electronics and Communication Engineering,GEN,38034,D,5
Computer Science and Artificial Intelligence,GEN,10034,OD,5
Computer Science and Engineering,GEN,10334,OD,5
Computer Science and Applied Mathematics,GEN-DEF,19601 (260651 (Priority V)),D,1
Computer Science and Artificial Intelligence,GEN-DEF,13007 (108352 (Priority V)),D,1
Computer Science and Biosciences,GEN-DEF,3799 (26091 (Priority VI)),D,1
Computer Science and Design,GEN-DEF,3807 (26166 (Priority VI)),D,1
Computer Science and Engineering,GEN-DEF,18332 (214006 (Priority V)),D,1
Computer Science and Social Sciences,GEN-DEF,4458 (30470 (Priority VI)),D,1
Electronics and Communication Engineering,GEN-DEF,4969 (34244 (Priority VI)),D,1
Electronics and VLSI Engineering,GEN-DEF,7253 (50973 (Priority VI)),D,1
Computer Science and Applied Mathematics,GEN-DEF,3799 (26091 (Priority VI)),D,2
Computer Science and Artificial Intelligence,GEN-DEF,13007 (108352 (Priority V)),D,2
Computer Science and Biosciences,GEN-DEF,5333 (36726 (Priority VI)),D,2
Computer Science and Design,GEN-DEF,3807 (26166 (Priority VI)),D,2
Computer Science and Engineering,GEN-DEF,19601 (260651 (Priority V)),D,2
Computer Science and Social Sciences,GEN-DEF,4458 (30470 (Priority VI)),D,2
Electronics and Communication Engineering,GEN-DEF,6828 (47651 (Priority VI)),D,2
Electronics and VLSI Engineering,GEN-DEF,7253 (50973 (Priority VI)),D,2
Computer Science and Applied Mathematics,GEN-DEF,3894 (26091 (Priority VI)),D,3
Computer Science and Artificial Intelligence,GEN-DEF,13477 (108352 (Priority V)),D,3
Computer Science and Biosciences,GEN-DEF,5491 (36726 (Priority VI)),D,3
Computer Science and Design,GEN-DEF,3902 (26166 (Priority VI)),D,3
Computer Science and Engineering,GEN-DEF,20332 (260651 (Priority V)),D,3
Computer Science and Social Sciences,GEN-DEF,4577 (30470 (Priority VI)),D,3
Electronics and Communication Engineering,GEN-DEF,7044 (47651 (Priority VI)),D,3
Electronics and VLSI Engineering,GEN-DEF,7480 (50973 (Priority VI)),D,3
Computer Science and Applied Mathematics,GEN-DEF,3894 (26091 (Priority VI)),D,4
Computer Science and Artificial Intelligence,GEN-DEF,13476 (108352 (Priority V)),D,4
Computer Science and Biosciences,GEN-DEF,5491 (36726 (Priority VI)),D,4
Computer Science and Design,GEN-DEF,3902 (26166 (Priority VI)),D,4
Computer Science and Engineering,GEN-DEF,20331 (260651 (Priority V)),D,4
Computer Science and Social Sciences,GEN-DEF,4577 (30470 (Priority VI)),D,4
Electronics and Communication Engineering,GEN-DEF,7044 (47651 (Priority VI)),D,4
Electronics and VLSI Engineering,GEN-DEF,7480 (50973 (Priority VI)),D,4
Computer Science and Applied Mathematics,GEN-DEF,3894 (26091 (Priority VI)),D,5
Computer Science and Artificial Intelligence,GEN-DEF,13475 (108352 (Priority V)),D,5
Computer Science and Biosciences,GEN-DEF,4073 (27166 (Priority VI)),D,5
Computer Science and Design,GEN-DEF,3902 (26166 (Priority VI)),D,5
Computer Science and Engineering,GEN-DEF,19004 (214006 (Priority V)),D,5
Computer Science and Social Sciences,GEN-DEF,4577 (30470 (Priority VI)),D,5
Electronics and Communication Engineering,GEN-DEF,7480 (50973 (Priority VI)),D,5
Electronics and VLSI Engineering,GEN-DEF,10965 (80476 (Priority VI)),D,5
Computer Science and Applied Mathematics,GEN-DEF,26091 (Priority VI),D,U1
Computer Science and Artificial Intelligence,GEN-DEF,108352 (Priority V),D,U1
Computer Science and Biosciences,GEN-DEF,27166 (Priority VI),D,U1
Computer Science and Design,GEN-DEF,26166 (Priority VI),D,U1
Computer Science and Engineering,GEN-DEF,214006 (Priority V),D,U1
Computer Science and Social Sciences,GEN-DEF,30470 (Priority VI),D,U1
Electronics and Communication Engineering,GEN-DEF,70674,D,U1
Electronics and VLSI Engineering,GEN-DEF,80476 (Priority VI),D,U1
Computer Science and Artificial Intelligence,GEN-PWD,20299 (290285),D,1
Computer Science and Engineering,GEN-PWD,20663 (308749),D,1
Electronics and Communication Engineering,GEN-PWD,21603 (376275),D,1
Computer Science and Artificial Intelligence,GEN-PWD,20299 (290285),D,2
Computer Science and Engineering,GEN-PWD,20663 (308749),D,2
Electronics and Communication Engineering,GEN-PWD,21603 (376275),D,2
Computer Science and Applied Mathematics,GEN-PWD,23037 (432164),D,3
Computer Science and Artificial Intelligence,GEN-PWD,21067 (290285),D,3
Computer Science and Design,GEN-PWD,22434 (376275),D,3
Computer Science and Engineering,GEN-PWD,21448 (308749),D,3
Computer Science and Applied Mathematics,GEN-PWD,23036 (432164),D,4
Computer Science and Artificial Intelligence,GEN-PWD,21066 (290285),D,4
Computer Science and Design,GEN-PWD,22433 (376275),D,4
Computer Science and Engineering,GEN-PWD,21447 (308749),D,4
Computer Science and Applied Mathematics,GEN-PWD,23036 (432164),D,5
Computer Science and Artificial Intelligence,GEN-PWD,21067 (290285),D,5
Computer Science and Design,GEN-PWD,22433 (376275),D,5
Computer Science and Engineering,GEN-PWD,21448 (308749),D,5
Computer Science and Applied Mathematics,GEN-PWD,432164,D,U1
Computer Science and Artificial Intelligence,GEN-PWD,290285,D,U1
Computer Science and Design,GEN-PWD,376275,D,U1
Computer Science and Engineering,GEN-PWD,308749,D,U1
Computer Science and Applied Mathematics,EWS,4784 (32921),D,1
Computer Science and Artificial Intelligence,EWS,3139 (22139),D,1
Computer Science and Biosciences,EWS,5114 (35353),D,1
Computer Science and Design,EWS,4620 (31599),D,1
Computer Science and Engineering,EWS,4017 (27469),D,1
Computer Science and Social Sciences,EWS,4855 (33425),D,1
Electronics and Communication Engineering,EWS,6226 (43377),D,1
Electronics and VLSI Engineering,EWS,7055 (49406),D,1
Computer Science and Applied Mathematics,EWS,495 (5430),OD,1
Computer Science and Artificial Intelligence,EWS,126 (2186),OD,1
Computer Science and Design,EWS,679 (6718),OD,1
Computer Science and Engineering,EWS,292 (3692),OD,1
Computer Science and Social Sciences,EWS,825 (7590),OD,1
Electronics and Communication Engineering,EWS,990 (8562),OD,1
Electronics and VLSI Engineering,EWS,1020 (8762),OD,1
Computer Science and Applied Mathematics,EWS,4902 (33772),D,2
Computer Science and Artificial Intelligence,EWS,3938 (26952),D,2
Computer Science and Biosciences,EWS,5369 (37001),D,2
Computer Science and Design,EWS,5140 (35493),D,2
Computer Science and Engineering,EWS,4620 (31599),D,2
Computer Science and Social Sciences,EWS,5812 (40255),D,2
Electronics and Communication Engineering,EWS,6931 (48456),D,2
Electronics and VLSI Engineering,EWS,7745 (55013),D,2
Computer Science and Applied Mathematics,EWS,828 (7615),OD,2
Computer Science and Artificial Intelligence,EWS,638 (6487),OD,2
Computer Science and Biosciences,EWS,1086 (9322),OD,2
Computer Science and Design,EWS,1020 (8762),OD,2
Computer Science and Engineering,EWS,936 (8266),OD,2
Computer Science and Social Sciences,EWS,1081 (9246),OD,2
Electronics and Communication Engineering,EWS,1346 (10981),OD,2
Electronics and VLSI Engineering,EWS,1494 (11990),OD,2
Computer Science and Applied Mathematics,EWS,5288 (35493),D,3
Computer Science and Artificial Intelligence,EWS,4648 (30861),D,3
Computer Science and Biosciences,EWS,6063 (40815),D,3
Computer Science and Design,EWS,5476 (36629),D,3
Computer Science and Engineering,EWS,4810 (32188),D,3
Computer Science and Social Sciences,EWS,6103 (41102),D,3
Electronics and Communication Engineering,EWS,7151 (48456),D,3
Electronics and VLSI Engineering,EWS,7987 (55013),D,3
Computer Science and Applied Mathematics,EWS,1030 (8762),OD,3
Computer Science and Biosciences,EWS,1097 (9322),OD,3
Computer Science and Design,EWS,1091 (9246),OD,3
Computer Science and Engineering,EWS,945 (8266),OD,3
Computer Science and Social Sciences,EWS,1196 (9959),OD,3
Electronics and VLSI Engineering,EWS,1740 (13358),OD,3
Computer Science and Applied Mathematics,EWS,5288 (35493),D,4
Computer Science and Artificial Intelligence,EWS,4648 (30861),D,4
Computer Science and Biosciences,EWS,6063 (40815),D,4
Computer Science and Design,EWS,5476 (36629),D,4
Computer Science and Engineering,EWS,4810 (32188),D,4
Computer Science and Social Sciences,EWS,6103 (41102),D,4
Electronics and Communication Engineering,EWS,7151 (48456),D,4
Electronics and VLSI Engineering,EWS,7987 (55013),D,4
Computer Science and Applied Mathematics,EWS,1030 (8762),OD,4
Computer Science and Biosciences,EWS,1255 (10275),OD,4
Computer Science and Design,EWS,1097 (9322),OD,4
Computer Science and Engineering,EWS,945 (8266),OD,4
Computer Science and Social Sciences,EWS,1254 (10273),OD,4
Electronics and Communication Engineering,EWS,1576 (12347),OD,4
Electronics and VLSI Engineering,EWS,1740 (13358),OD,4
Computer Science and Applied Mathematics,EWS,6592 (44494),D,5
Computer Science and Artificial Intelligence,EWS,4711 (31341),D,5
Computer Science and Biosciences,EWS,6436 (43452),D,5
Computer Science and Design,EWS,6063 (40815),D,5
Computer Science and Engineering,EWS,4953 (33130),D,5
Computer Science and Social Sciences,EWS,6685 (45174),D,5
Electronics and Communication Engineering,EWS,7472 (50907),D,5
Electronics and VLSI Engineering,EWS,8593 (59672),D,5
Computer Science and Applied Mathematics,EWS,1328 (10769),OD,5
