Branch,Category,Jee_Rank,Region,Round
Bio-Technology,GEN,58308,D,1
Computer Science and Engineering,GEN,4351,D,1
Computer Science and Engineering with specialization in Artificial Intelligence,GEN,2673,D,1
Computer Science and Engineering with specialization in Data Science,GEN,5959,D,1
Electrical Engineering,GEN,28615,D,1
Electronics and Communication Engineering,GEN,20359,D,1
Electronics and Communication Engineering with specialization in Internet of Things,GEN,16098,D,1
Information Technology,GEN,9118,D,1
Information Technology with specialization in Network and Information Security,GEN,11184,D,1
Instrumentation and Control Engineering,GEN,33207,D,1
Mathematics and Computing,GEN,13703,D,1
Mechanical Engineering,GEN,43493,D,1
Bio-Technology,GEN,13577,OD,1
Computer Science and Engineering,GEN,1201,OD,1
Computer Science and Engineering with specialization in Artificial Intelligence,GEN,932,OD,1
Computer Science and Engineering with specialization in Data Science,GEN,1548,OD,1
Electrical Engineering,GEN,6687,OD,1
Electronics and Communication Engineering,GEN,4724,OD,1
Electronics and Communication Engineering with specialization in Internet of Things,GEN,4411,OD,1
Information Technology,GEN,2406,OD,1
Information Technology with specialization in Network and Information Security,GEN,3431,OD,1
Instrumentation and Control Engineering,GEN,8650,OD,1
Mathematics and Computing,GEN,3622,OD,1
Mechanical Engineering,GEN,9929,OD,1
Bio-Technology,GEN,73223,D,2
Computer Science and Engineering,GEN,7453,D,2
Computer Science and Engineering with specialization in Artificial Intelligence,GEN,4310,D,2
Computer Science and Engineering with specialization in Data Science,GEN,9703,D,2
Electrical Engineering,GEN,37826,D,2
Electronics and Communication Engineering,GEN,25985,D,2
Electronics and Communication Engineering with specialization in Internet of Things,GEN,21324,D,2
Information Technology,GEN,12434,D,2
Information Technology with specialization in Network and Information Security,GEN,15212,D,2
Instrumentation and Control Engineering,GEN,43806,D,2
Mathematics and Computing,GEN,17928,D,2
Mechanical Engineering,GEN,52040,D,2
Bio-Technology,GEN,18894,OD,2
Computer Science and Engineering,GEN,2536,OD,2
Computer Science and Engineering with specialization in Artificial Intelligence,GEN,2117,OD,2
Computer Science and Engineering with specialization in Data Science,GEN,3217,OD,2
Electrical Engineering,GEN,9106,OD,2
Electronics and Communication Engineering,GEN,6703,OD,2
Electronics and Communication Engineering with specialization in Internet of Things,GEN,6122,OD,2
Information Technology,GEN,4094,OD,2
Information Technology with specialization in Network and Information Security,GEN,5017,OD,2
Instrumentation and Control Engineering,GEN,12052,OD,2
Mathematics and Computing,GEN,5270,OD,2
Mechanical Engineering,GEN,13632,OD,2
Bio-Technology,GEN,81782,D,3
Computer Science and Engineering,GEN,7877,D,3
Computer Science and Engineering with specialization in Artificial Intelligence,GEN,4538,D,3
Computer Science and Engineering with specialization in Data Science,GEN,10075,D,3
Electrical Engineering,GEN,39064,D,3
Electronics and Communication Engineering,GEN,26243,D,3
Electronics and Communication Engineering with specialization in Internet of Things,GEN,22141,D,3
Information Technology,GEN,12557,D,3
Information Technology with specialization in Network and Information Security,GEN,16058,D,3
Instrumentation and Control Engineering,GEN,45570,D,3
Mathematics and Computing,GEN,19236,D,3
Mechanical Engineering,GEN,55089,D,3
Bio-Technology,GEN,22405,OD,3
Computer Science and Engineering,GEN,2833,OD,3
Computer Science and Engineering with specialization in Artificial Intelligence,GEN,2797,OD,3
Computer Science and Engineering with specialization in Data Science,GEN,4068,OD,3
Electrical Engineering,GEN,10058,OD,3
Electronics and Communication Engineering,GEN,7814,OD,3
Electronics and Communication Engineering with specialization in Internet of Things,GEN,6650,OD,3
Information Technology,GEN,4941,OD,3
Information Technology with specialization in Network and Information Security,GEN,5627,OD,3
Instrumentation and Control Engineering,GEN,14353,OD,3
Mathematics and Computing,GEN,5938,OD,3
Mechanical Engineering,GEN,15617,OD,3
Bio-Technology,GEN,111830,D,4
Computer Science and Engineering,GEN,9527,D,4
