Branch,Category,Jee_Rank,Region,Round
Bio-Technology,GEN,57216,D,1
Computer Science and Engineering,GEN,4695,D,1
Computer Science and Engineering with specialization in Artificial Intelligence,GEN,3075,D,1
Computer Science and Engineering with specialization in Data Science,GEN,7206,D,1
Electrical Engineering,GEN,27305,D,1
Electronics and Communication Engineering,GEN,20472,D,1
Electronics and Communication Engineering with specialization in Internet of Things,GEN,16802,D,1
Information Technology,GEN,9905,D,1
Information Technology with specialization in Network and Information Security,GEN,12733,D,1
Instrumentation and Control Engineering,GEN,32695,D,1
Mathematics and Computing,GEN,13835,D,1
Mechanical Engineering,GEN,42080,D,1
Bio-Technology,GEN,13837,OD,1
Computer Science and Engineering,GEN,1896,OD,1
Computer Science and Engineering with specialization in Artificial Intelligence,GEN,1540,OD,1
Computer Science and Engineering with specialization in Data Science,GEN,2602,OD,1
Electrical Engineering,GEN,7106,OD,1
Electronics and Communication Engineering,GEN,5172,OD,1
Electronics and Communication Engineering with specialization in Internet of Things,GEN,4827,OD,1
Information Technology,GEN,3022,OD,1
Information Technology with specialization in Network and Information Security,GEN,3594,OD,1
Instrumentation and Control Engineering,GEN,9476,OD,1
Mathematics and Computing,GEN,3684,OD,1
Mechanical Engineering,GEN,11320,OD,1
Bio-Technology,GEN,66986,D,2
Computer Science and Engineering,GEN,7659,D,2
Computer Science and Engineering with specialization in Artificial Intelligence,GEN,4923,D,2
Computer Science and Engineering with specialization in Data Science,GEN,10974,D,2
Electrical Engineering,GEN,32333,D,2
Electronics and Communication Engineering,GEN,24265,D,2
Electronics and Communication Engineering with specialization in Internet of Things,GEN,20364,D,2
Information Technology,GEN,13075,D,2
Information Technology with specialization in Network and Information Security,GEN,15751,D,2
Instrumentation and Control Engineering,GEN,38421,D,2
Mathematics and Computing,GEN,18569,D,2
Mechanical Engineering,GEN,47444,D,2
Bio-Technology,GEN,17789,OD,2
Computer Science and Engineering,GEN,2946,OD,2
Computer Science and Engineering with specialization in Artificial Intelligence,GEN,2941,OD,2
Computer Science and Engineering with specialization in Data Science,GEN,3543,OD,2
Electrical Engineering,GEN,9238,OD,2
Electronics and Communication Engineering,GEN,7117,OD,2
Electronics and Communication Engineering with specialization in Internet of Things,GEN,6587,OD,2
Information Technology,GEN,4416,OD,2
Information Technology with specialization in Network and Information Security,GEN,5009,OD,2
Instrumentation and Control Engineering,GEN,11963,OD,2
Mathematics and Computing,GEN,5142,OD,2
Mechanical Engineering,GEN,13976,OD,2
Bio-Technology,GEN,67028,D,3
